Date,Block,Demand
01-09-2022,57,19851
01-09-2022,58,20079
01-09-2022,59,20238
01-09-2022,60,20444
01-09-2022,61,20257
01-09-2022,62,20198
01-09-2022,63,20256
01-09-2022,64,20278
01-09-2022,65,20263
01-09-2022,66,21785.5
01-09-2022,67,21681.98438
01-09-2022,68,20272
01-09-2022,69,20320
01-09-2022,70,20258
01-09-2022,71,20194
01-09-2022,72,20190
01-09-2022,73,20311
01-09-2022,74,20422
01-09-2022,75,20702
01-09-2022,76,21543.5
01-09-2022,77,21460
01-09-2022,78,21623
01-09-2022,79,21675
01-09-2022,80,21270
01-09-2022,81,21046
01-09-2022,82,20654
01-09-2022,83,20655
01-09-2022,84,20477
01-09-2022,85,20245
01-09-2022,86,20100
01-09-2022,87,20036
01-09-2022,88,19980
01-09-2022,89,19672
01-09-2022,90,19620
01-09-2022,91,19704
01-09-2022,92,19637
01-09-2022,93,19243
01-09-2022,94,19285
01-09-2022,95,19271
01-09-2022,96,19083
01-09-2022,1,11063
01-09-2022,2,10900
01-09-2022,3,11181
01-09-2022,4,11190
01-09-2022,5,11288
01-09-2022,6,11386
01-09-2022,7,10948
01-09-2022,8,11009
01-09-2022,9,11455
01-09-2022,10,11524
01-09-2022,11,11523
01-09-2022,12,11451
01-09-2022,13,11363
01-09-2022,14,11348
01-09-2022,15,11328
01-09-2022,16,11296
01-09-2022,17,11334
01-09-2022,18,11479
01-09-2022,19,11504
01-09-2022,20,11590
01-09-2022,21,11605
01-09-2022,22,11725
01-09-2022,23,10670.5
01-09-2022,24,10705
01-09-2022,25,12129
01-09-2022,26,11696
01-09-2022,27,11906
01-09-2022,28,11961
01-09-2022,29,12353
01-09-2022,30,10970.25
01-09-2022,31,11204
01-09-2022,32,12306
01-09-2022,33,12403
01-09-2022,34,12537
01-09-2022,35,12533
01-09-2022,36,12767
01-09-2022,37,12784
01-09-2022,38,12783
01-09-2022,39,12943
01-09-2022,40,12994
01-09-2022,41,13297
01-09-2022,42,13627
01-09-2022,43,14002
01-09-2022,44,14171
01-09-2022,45,14120
01-09-2022,46,14164
01-09-2022,47,14100
01-09-2022,48,14091
01-09-2022,49,14099
01-09-2022,50,14092
01-09-2022,51,14070
01-09-2022,52,14102
01-09-2022,53,14150
01-09-2022,54,12060.75
01-09-2022,55,12192.54688
01-09-2022,56,14096
01-09-2022,57,14075
01-09-2022,58,14086
01-09-2022,59,14203
01-09-2022,60,14054
01-09-2022,61,13801
01-09-2022,62,13529
01-09-2022,63,13334
01-09-2022,64,13342
01-09-2022,65,12651
01-09-2022,66,11829.5
01-09-2022,67,12507
01-09-2022,68,12578
01-09-2022,69,12128
01-09-2022,70,12205
01-09-2022,71,12053
01-09-2022,72,11786
01-09-2022,73,11262
01-09-2022,74,11080
01-09-2022,75,10661
